_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Input_act_m[2:0,0]<2:3,4>	%Input_act_m[2:1,0]	%Input_act_m[2:2,0]	%Input_act_m[2:0,1]	%Input_act_m[2:1,1]	%Input_act_m[2:2,1]	%Input_act_m[2:0,2]	%Input_act_m[2:1,2]	%Input_act_m[2:2,2]	%Input_act_m[2:0,3]	%Input_act_m[2:1,3]	%Input_act_m[2:2,3]	%Hidden_act_m[2:0,0]<2:4,4>	%Hidden_act_m[2:1,0]	%Hidden_act_m[2:2,0]	%Hidden_act_m[2:3,0]	%Hidden_act_m[2:0,1]	%Hidden_act_m[2:1,1]	%Hidden_act_m[2:2,1]	%Hidden_act_m[2:3,1]	%Hidden_act_m[2:0,2]	%Hidden_act_m[2:1,2]	%Hidden_act_m[2:2,2]	%Hidden_act_m[2:3,2]	%Hidden_act_m[2:0,3]	%Hidden_act_m[2:1,3]	%Hidden_act_m[2:2,3]	%Hidden_act_m[2:3,3]	%Output_act_m[2:0,0]<2:3,4>	%Output_act_m[2:1,0]	%Output_act_m[2:2,0]	%Output_act_m[2:0,1]	%Output_act_m[2:1,1]	%Output_act_m[2:2,1]	%Output_act_m[2:0,2]	%Output_act_m[2:1,2]	%Output_act_m[2:2,2]	%Output_act_m[2:0,3]	%Output_act_m[2:1,3]	%Output_act_m[2:2,3]
_D:	0	0	383	"C_A"	""	2	50	1.68184	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0.0021398	0.865437	0	1.45021e-05	0	0	0.744689	0.352564	0.228924	0.752195	0.853995	0	0.029182	0	2.01572e-05	0	0.613843	0	0	0.692387	0.00331297	0	0.918301	0	0	7.12163e-09	0.324197	0.5993
_D:	0	0	384	"A_B"	""	2	50	0.925129	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0.747895	0	0	3.8675e-05	0	0	4.87932e-07	0.761722	0.00046155	0	0.735849	0.789081	0.385308	0.386642	0	0.79564	0.827003	0.0137938	0.0172481	7.67638e-05	0.00011508	0.000271293	0.540449	0	0.303856	0	0.00119159
_D:	0	0	385	"B_C"	""	2	50	0.893323	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0.00275877	0	0.0970592	0.794884	0.757895	0	0.0491264	1.44581e-06	0	0	0	0.796118	0	0	0	0.817308	0.0350906	0.683486	0.885168	0	0.0740457	0.0713182	2.20858e-06	0.00685514	0	0	0.000551647	0.652818
_D:	0	0	386	"C_D"	""	2	50	3.0853	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0.00246139	0.896069	0	1.82087e-05	0	0	0.0492033	4.1641e-06	0.743084	0.734808	0.843433	0	0.0283022	0	0	0	0.837805	0	0	0.000193189	0.00345096	0.263625	0.915058	0	0	0	0.000194594	0.739216
_D:	0	0	387	"D_E"	""	2	50	0.779472	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0.000320159	0.0888458	0	0	0.378684	0.59284	0.91506	0	8.04443e-05	0	0	0.263828	0	0.568984	0.539035	0.0336723	0.000775936	0.0397218	0.882877	0.780697	0	0	0.00111458	0.312777	0	0.0311969	0.175849
_D:	0	0	388	"E_F"	""	2	50	0.724375	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0.870516	0	0	0.762356	0	0.779865	0	0	0.849367	9.74543e-07	7.45583e-09	0.00261193	0	0	0.000847965	0.00471058	0.550879	0	0.0588812	0	0.000460672	0.933582	0	0.00651182	0.147649	0.648774	7.55991e-10	0
_D:	0	0	389	"F_A"	""	2	50	1.60266	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0.000962326	0.86082	0	0.0369672	0	0.424885	0	0	0.0015144	0.0951807	0.779126	0	0.00138897	0.811505	0.00462369	0.65929	0.882517	0	0	0	0	0	0.875365	0.0461021	0.539562	0	0	0.738424
_D:	0	0	390	"A_B"	""	2	50	0.907034	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0.00437058	0	0	0	0	0.786384	0.821636	0.0190731	0.0394497	0	0.812908	0.641971	0	0.852049	0	7.35899e-09	0.762587	0.361859	0.952383	0.424548	0	0	0.0155377	0	0.0124967	0.000542469	0
_D:	0	0	391	"B_C"	""	2	50	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0.00100667	0	0.796698	0.778342	0.616155	0	0.075564	0	0	0	0	0.708709	0	0	0	0.587841	0.374996	0.17401	0.898168	0	0.295918	0.0527668	0.000302044	0.482845	0	0	0.0756851	0.0068891
_D:	0	0	392	"C_A"	""	2	50	2.54263	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0.000483101	0.0118927	0	0	0	0	0.91411	0.868786	1.78786e-05	0.794358	0	0	0.0179989	0	0.786695	0	0.00566129	0	0	0.962115	0.165741	0	0.000135969	0	0	0	0.792627	0.288305
